codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,latitud,longitud,fuente_geo,bandera_url
"18592","Caquetá","Puerto Rico","","33765.0","25.0","259.0","","","","","","","","","","","","","","","1.90999","-75.15931","geonames",""
"18610","Caquetá","San José del Fragua","","13882.0","19.1","1177.0","","","","","","","","","","","","","","","1.3078","-76.16554","geonames",""
"18753","Caquetá","San Vicente del Caguán","","56674.0","25.2","253.0","","","","","","","","","","","","","","","1.578","-74.51784","geonames",""
"18756","Caquetá","Solano","","19427.0","24.8","200.0","","","","","","","","","","","","","","","0.22842","-73.27597","geonames",""
"18785","Caquetá","Solita","","9134.0","25.1","220.0","","","","","","","","","","","","","","","0.96979","-75.65532","geonames",""
"18860","Caquetá","Valparaíso","","11100.0","24.9","231.0","","","","","","","","","","","","","","","1.05706","-75.75969","geonames",""
"19001","Cauca","Popayán","","318059.0","16.8","1760.0","","","","","","","","","","","","","","","2.43823","-76.61316","geonames",""
"19022","Cauca","Almaguer","","16523.0","13.1","2433.0","","","","","","","","","","","","","","","1.91667","-76.83333","geonames",""
"19050","Cauca","Argelia","","20136.0","19.3","1295.0","","","","","","","","","","","","","","","2.31728","-77.257","geonames",""
"19075","Cauca","Balboa","","18910.0","17.7","1616.0","","","","","","","","","","","","","","","2.04183","-77.21646","geonames",""
