codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,latitud,longitud,fuente_geo,bandera_url
"05890","Antioquia","Yolombó","Antioquia","23958.0","19.0","1378.0","","","","","","","","","","","","","","","6.66569","-74.9912","geonames",""
"05893","Antioquia","Yondó","Antioquia","17597.0","25.9","72.0","","","","","","","","","","","","","","","7.00621","-73.90972","geonames",""
"05895","Antioquia","Zaragoza","Antioquia","24067.0","25.3","66.0","","","","","","","","","","","","","","","7.48971","-74.86919","geonames",""
"08001","Atlántico","Barranquilla","Caribe","1206319.0","26.8","24.0","","","","","","","","","","","","","","","10.96854","-74.78132","geonames",""
"08078","Atlántico","Baranoa","Caribe","68383.0","26.0","120.0","","","","","","","","","","","","","","","10.79408","-74.9164","geonames",""
"08137","Atlántico","Campo de La Cruz","Caribe","22810.0","27.0","9.0","","","","","","","","","","","","","","","10.37808","-74.88356","geonames",""
"08141","Atlántico","Candelaria","Caribe","87811.0","20.7","957.0","","","","","","","","","","","","","","","3.38367","-76.42466","geonames",""
"08296","Atlántico","Galapa","Caribe","32012.0","26.1","89.0","","","","","","","","","","","","","","","10.8979","-74.887","geonames",""
"08372","Atlántico","Juan de Acosta","Caribe","18828.0","26.0","51.0","","","","","","","","","","","","","","","10.8293","-75.03346","geonames",""
"08421","Atlántico","Luruaco","Caribe","27647.0","26.4","28.0","","","","","","","","","","","","","","","10.61712","-75.15146","geonames",""
"08433","Atlántico","Malambo","Caribe","129148.0","26.7","17.0","","","","","","","","","","","","","","","10.85953","-74.77386","geonames",""
"08436","Atlántico","Manatí","Caribe","19233.0","27.1","12.0","","","","","","","","","","","","","","","10.44589","-74.95869","geonames",""
"08520","Atlántico","Palmar de Varela","Caribe","27098.0","26.9","12.0","","","","","","","","","","","","","","","10.74055","-74.75443","geonames",""
"08549","Atlántico","Piojó","Caribe","5017.0","25.5","190.0","","","","","","","","","","","","","","","10.74613","-75.13797","geonames",""
"08558","Atlántico","Polonuevo","Caribe","19454.0","26.0","86.0","","","","","","","","","","","","","","","10.77697","-74.85344","geonames",""
"08560","Atlántico","Ponedera","Caribe","23420.0","26.9","15.0","","","","","","","","","","","","","","","10.64297","-74.75393","geonames",""
"08573","Atlántico","Puerto Colombia","Caribe","27837.0","26.7","25.0","","","","","","","","","","","","","","","11.00854","-74.90887","geonames",""
"08606","Atlántico","Repelón","Caribe","25467.0","26.7","13.0","","","","","","","","","","","","","","","10.4952","-75.12448","geonames",""
"08634","Atlántico","Sabanagrande","Caribe","35044.0","27.0","9.0","","","","","","","","","","","","","","","10.79115","-74.76059","geonames",""
"08638","Atlántico","Sabanalarga","Caribe","102334.0","26.2","97.0","","","","","","","","","","","","","","","10.63072","-74.92214","geonames",""
"08675","Atlántico","Santa Lucía","Caribe","15760.0","27.2","9.0","","","","","","","","","","","","","","","10.3242","-74.96017","geonames",""
"08685","Atlántico","Santo Tomás","Caribe","28693.0","26.9","10.0","","","","","","","","","","","","","","","10.75773","-74.75451","geonames",""
"08758","Atlántico","Soledad","Caribe","683486.0","26.8","34.0","","","","","","","","","","","","","","","10.89986","-74.78787","geonames",""
"08770","Atlántico","Suan","Caribe","10381.0","27.0","10.0","","","","","","","","","","","","","","","10.33347","-74.88016","geonames",""
"08832","Atlántico","Tubará","Caribe","10915.0","25.2","225.0","","","","","","","","","","","","","","","10.91551","-74.98366","geonames",""
"08849","Atlántico","Usiacurí","Caribe","9543.0","25.9","112.0","","","","","","","","","","","","","","","10.74313","-74.97604","geonames",""
"11001","Bogotá, D.C.","Bogotá, D.C.","Centro","","","","","","","","","","","","","","","","","","","","geo",""
"13001","Bolívar","Cartagena","Caribe","914552.0","26.8","20.0","","","","","","","","","","","","","","","10.39817","-75.49328","geonames",""
"13006","Bolívar","Achí","Caribe","23051.0","26.2","19.0","","","","","","","","","","","","","","","8.62583","-74.47764","geonames",""
"13030","Bolívar","Altos del Rosario","Caribe","11357.0","26.6","17.0","","","","","","","","","","","","","","","8.73888","-74.23005","geonames",""
"13042","Bolívar","Arenal","Caribe","15414.0","20.6","1043.0","","","","","","","","","","","","","","","8.34173","-74.10584","geonames",""
"13052","Bolívar","Arjona","Caribe","73730.0","26.6","54.0","","","","","","","","","","","","","","","10.17594","-75.35884","geonames",""
"13062","Bolívar","Arroyohondo","Caribe","9907.0","26.9","48.0","","","","","","","","","","","","","","","10.23583","-75.04218","geonames",""
"13074","Bolívar","Barranco de Loba","Caribe","14435.0","26.8","20.0","","","","","","","","","","","","","","","8.8829","-74.18276","geonames",""
"13140","Bolívar","Calamar","Caribe","22202.0","26.9","5.0","","","","","","","","","","","","","","","10.23377","-74.9424","geonames",""
"13160","Bolívar","Cantagallo","Caribe","6874.0","26.1","59.0","","","","","","","","","","","","","","","7.37926","-73.9155","geonames",""
"13188","Bolívar","Cicuco","Caribe","13120.0","27.1","10.0","","","","","","","","","","","","","","","9.23226","-74.69095","geonames",""
"13212","Bolívar","Córdoba","Caribe","15012.0","26.7","26.0","","","","","","","","","","","","","","","9.55149","-74.898","geonames",""
"13222","Bolívar","Clemencia","Caribe","13821.0","25.8","67.0","","","","","","","","","","","","","","","10.56645","-75.32499","geonames",""
"13244","Bolívar","El Carmen de Bolívar","Caribe","67952.0","25.0","273.0","","","","","","","","","","","","","","","9.7088","-75.15958","geonames",""
"13248","Bolívar","El Guamo","Caribe","7826.0","26.8","49.0","","","","","","","","","","","","","","","10.01753","-74.93483","geonames",""
"13268","Bolívar","El Peñón","Caribe","7234.0","27.1","21.0","","","","","","","","","","","","","","","8.98885","-73.94898","geonames",""
"13300","Bolívar","Hatillo de Loba","Caribe","11770.0","26.9","26.0","","","","","","","","","","","","","","","8.96607","-74.12454","geonames",""
