codigo_dane,departamento,municipio,subregion,provincia,categoria_municipal,cabecera_municipal,poblacion,altitud_ms_nm,temperatura_promedio,superficie_km2,latitud,longitud,anio_fundacion,gentilicio,festival_principal,fecha_inicio,fecha_fin,descripcion_festival,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,fuente_datos,estado_enriquecimiento,observaciones
13468,Bolívar,Mompós,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13473,Bolívar,Morales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13549,Bolívar,Pinillos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13580,Bolívar,Regidor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13600,Bolívar,Río Viejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13620,Bolívar,San Cristóbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13647,Bolívar,San Estanislao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13650,Bolívar,San Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13654,Bolívar,San Jacinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13655,Bolívar,San Jacinto del Cauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13657,Bolívar,San Juan Nepomuceno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13667,Bolívar,San Martín de Loba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13670,Bolívar,San Pablo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13673,Bolívar,Santa Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13683,Bolívar,Santa Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13688,Bolívar,Santa Rosa del Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13744,Bolívar,Simití,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13760,Bolívar,Soplaviento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13780,Bolívar,Talaigua Nuevo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13810,Bolívar,Tiquisio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13836,Bolívar,Turbaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13838,Bolívar,Turbaná,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13873,Bolívar,Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
13894,Bolívar,Zambrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15001,Boyacá,Tunja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15022,Boyacá,Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
15047,Boyacá,Aquitania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendiente,
