codigo_dane,departamento,municipio,subregion,provincia,categoria_municipal,cabecera_municipal,poblacion,altitud_ms_nm,temperatura_promedio,superficie_km2,latitud,longitud,anio_fundacion,gentilicio,alcalde_actual,bandera_url,sitios_turisticos,hoteles,hospedajes,contacto_hoteles,festividad_nombre,festividad_fecha_inicio,festividad_fecha_fin,festividad_fecha_texto,resena_festividad,fuente_base,fuente_festividad,fuente_turismo,fuente_hoteles,fuente_alcalde,observaciones,estado_revision
13620,Bolívar,San Cristóbal,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13647,Bolívar,San Estanislao,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13650,Bolívar,San Fernando,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13654,Bolívar,San Jacinto,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13655,Bolívar,San Jacinto del Cauca,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13657,Bolívar,San Juan Nepomuceno,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13667,Bolívar,San Martín de Loba,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13670,Bolívar,San Pablo,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13673,Bolívar,Santa Catalina,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13683,Bolívar,Santa Rosa,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13688,Bolívar,Santa Rosa del Sur,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13744,Bolívar,Simití,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
13760,Bolívar,Soplaviento,,,,,,,,,,,,,,,,,,,,,,,,municipios_de_colombia.csv,,,,,,pendiente
